,path,classes
0,../traffic_sign/train/00000/00000_012.png,0
1,../traffic_sign/train/00000/00000_008.png,0
2,../traffic_sign/train/00000/00000_006.png,0
3,../traffic_sign/train/00000/00000_000.png,0
4,../traffic_sign/train/00000/00000_009.png,0
5,../traffic_sign/train/00000/00000_013.png,0
6,../traffic_sign/train/00000/00000_005.png,0
7,../traffic_sign/train/00000/00000_002.png,0
8,../traffic_sign/train/00000/00000_001.png,0
9,../traffic_sign/train/00000/00000_007.png,0
10,../traffic_sign/train/00000/00000_011.png,0
11,../traffic_sign/train/00000/00000_003.png,0
12,../traffic_sign/train/00000/00000_010.png,0
13,../traffic_sign/train/00000/00000_014.png,0
14,../traffic_sign/train/00000/00000_004.png,0
15,../traffic_sign/train/00001/00001_051.png,1
16,../traffic_sign/train/00001/00001_023.png,1
17,../traffic_sign/train/00001/00001_014.png,1
18,../traffic_sign/train/00001/00001_087.png,1
19,../traffic_sign/train/00001/00001_102.png,1
20,../traffic_sign/train/00001/00001_096.png,1
21,../traffic_sign/train/00001/00001_046.png,1
22,../traffic_sign/train/00001/00001_031.png,1
23,../traffic_sign/train/00001/00001_076.png,1
24,../traffic_sign/train/00001/00001_000.png,1
25,../traffic_sign/train/00001/00001_005.png,1
26,../traffic_sign/train/00001/00001_100.png,1
27,../traffic_sign/train/00001/00001_045.png,1
28,../traffic_sign/train/00001/00001_037.png,1
29,../traffic_sign/train/00001/00001_002.png,1
30,../traffic_sign/train/00001/00001_034.png,1
31,../traffic_sign/train/00001/00001_011.png,1
32,../traffic_sign/train/00001/00001_024.png,1
33,../traffic_sign/train/00001/00001_022.png,1
34,../traffic_sign/train/00001/00001_109.png,1
35,../traffic_sign/train/00001/00001_041.png,1
36,../traffic_sign/train/00001/00001_098.png,1
37,../traffic_sign/train/00001/00001_107.png,1
38,../traffic_sign/train/00001/00001_082.png,1
39,../traffic_sign/train/00001/00001_071.png,1
40,../traffic_sign/train/00001/00001_099.png,1
41,../traffic_sign/train/00001/00001_089.png,1
42,../traffic_sign/train/00001/00001_064.png,1
43,../traffic_sign/train/00001/00001_106.png,1
44,../traffic_sign/train/00001/00001_032.png,1
45,../traffic_sign/train/00001/00001_059.png,1
46,../traffic_sign/train/00001/00001_036.png,1
47,../traffic_sign/train/00001/00001_067.png,1
48,../traffic_sign/train/00001/00001_094.png,1
49,../traffic_sign/train/00001/00001_065.png,1
50,../traffic_sign/train/00001/00001_006.png,1
51,../traffic_sign/train/00001/00001_061.png,1
52,../traffic_sign/train/00001/00001_021.png,1
53,../traffic_sign/train/00001/00001_010.png,1
54,../traffic_sign/train/00001/00001_049.png,1
55,../traffic_sign/train/00001/00001_029.png,1
56,../traffic_sign/train/00001/00001_038.png,1
57,../traffic_sign/train/00001/00001_026.png,1
58,../traffic_sign/train/00001/00001_053.png,1
59,../traffic_sign/train/00001/00001_081.png,1
60,../traffic_sign/train/00001/00001_063.png,1
61,../traffic_sign/train/00001/00001_075.png,1
62,../traffic_sign/train/00001/00001_043.png,1
63,../traffic_sign/train/00001/00001_047.png,1
64,../traffic_sign/train/00001/00001_072.png,1
65,../traffic_sign/train/00001/00001_050.png,1
